Time,Angle
0,0.1517
0.02,0.1492
0.04,0.1524
0.06,0.1576
0.08,0.1635
0.1,0.1744
0.12,0.1937
0.14,0.2126
0.16,0.2288
0.18,0.2552
0.2,0.2833
0.22,0.3125
0.24,0.3463
0.26,0.3879
0.28,0.4324
0.3,0.4825
0.32,0.5358
0.34,0.5928
0.36,0.6446
0.38,0.6966
0.4,0.753
0.42,0.8116
0.44,0.8639
0.46,0.9251
0.48,0.9865
0.5,1.0494
0.52,1.1175
0.54,1.1893
0.56,1.261
0.58,1.3333
0.6,1.4078
0.62,1.4778
0.64,1.5505
0.66,1.6178
0.68,1.6855
0.7,1.7481
0.72,1.8074
0.74,1.8658
0.76,1.9245
0.78,1.9792
0.8,2.0339
0.82,2.0724
0.84,2.1126
0.86,2.1452
0.88,2.1701
0.9,2.1844
0.92,2.2012
0.94,2.2047
0.96,2.2021
0.98,2.194
1,2.1824
1.02,2.1634
1.04,2.1433
1.06,2.1116
1.08,2.0795
1.1,2.0427
1.12,1.9985
1.14,1.9519
1.16,1.9
1.18,1.8442
1.2,1.781
1.22,1.7189
1.24,1.6515
1.26,1.5813
1.28,1.5132
1.3,1.4401
1.32,1.371
1.34,1.2987
1.36,1.2265
1.38,1.1594
1.4,1.0909
1.42,1.0255
1.44,0.963
1.46,0.9033
1.48,0.8488
1.5,0.7928
1.52,0.7359
1.54,0.6853
1.56,0.637
1.58,0.5913
1.6,0.5533
1.62,0.5207
1.64,0.4856
1.66,0.4531
1.68,0.4276
1.7,0.4055
1.72,0.3856
1.74,0.3698
1.76,0.3665
1.78,0.3648
1.8,0.3835
1.82,0.4091
1.84,0.4622
1.86,0.5367
1.88,0.6447
1.9,0.7663
1.92,0.9091
1.94,1.068
1.96,1.2216
1.98,1.3753
2,1.5169
2.02,1.6317
2.04,1.7246
2.06,1.7819
2.08,1.8011
2.1,1.7825
2.12,1.7405
2.14,1.675
2.16,1.5954
2.18,1.509
2.2,1.4121
2.22,1.3088
2.24,1.2
2.26,1.0853
2.28,0.9715
2.3,0.8626
2.32,0.7664
2.34,0.6798
2.36,0.6014
2.38,0.5392
2.4,0.4865
2.42,0.4359
2.44,0.396
2.46,0.3587
2.48,0.3254
2.5,0.3015
2.52,0.28
2.54,0.2676
2.56,0.2499
2.58,0.2421
2.6,0.2323
2.62,0.2267
2.64,0.2226
2.66,0.214
2.68,0.208
2.7,0.1993
2.72,0.1953
2.74,0.1811
2.76,0.1695
2.78,0.1565
2.8,0.1438
2.82,0.1356
